Liga,Saison,Team,Marktwert,Platzierung,Punkte
Bundesliga,2011,FC Bayern München,356000000,2 ,73
Bundesliga,2011,Borussia Dortmund,215950000,1 ,81
Bundesliga,2011,FC Schalke 04,155230000,3 ,64
Bundesliga,2011,Bayer 04 Leverkusen,134850000,5 ,54
Bundesliga,2011,VfL Wolfsburg,125800000,8 ,44
Bundesliga,2011,VfB Stuttgart,118000000,6 ,53
Bundesliga,2011,SV Werder Bremen,111950000,9 ,42
Bundesliga,2011,TSG 1899 Hoffenheim,88650000,11 ,41
Bundesliga,2011,Borussia Mönchengladbach,88300000,4 ,60
Bundesliga,2011,Hamburger SV,85900000,15 ,36
Bundesliga,2011,Hannover 96,76800000,7 ,48
Bundesliga,2011,SC Freiburg,69430000,12 ,40
Bundesliga,2011,1.FC Köln,60180000,17 ,30
Bundesliga,2011,1.FC Nürnberg,52100000,10 ,42
Bundesliga,2011,1.FSV Mainz 05,52000000,13 ,39
Bundesliga,2011,Hertha BSC,45600000,16 ,31
Bundesliga,2011,1.FC Kaiserslautern,42600000,18 ,23
Bundesliga,2011,FC Augsburg,38350000,14 ,38
Bundesliga,2012,FC Bayern München,462400000,1 ,91
Bundesliga,2012,Borussia Dortmund,302300000,2 ,66
Bundesliga,2012,FC Schalke 04,183550000,4 ,55
Bundesliga,2012,Bayer 04 Leverkusen,155300000,3 ,65
Bundesliga,2012,VfL Wolfsburg,109000000,11 ,43
Bundesliga,2012,Hamburger SV,104950000,7 ,48
Bundesliga,2012,VfB Stuttgart,93130000,12 ,43
Bundesliga,2012,Borussia Mönchengladbach,87330000,8 ,47
Bundesliga,2012,Hannover 96,83150000,9 ,45
Bundesliga,2012,TSG 1899 Hoffenheim,78250000,16 ,31
Bundesliga,2012,SV Werder Bremen,78000000,14 ,34
Bundesliga,2012,Eintracht Frankfurt,68400000,6 ,51
Bundesliga,2012,SC Freiburg,65800000,5 ,51
Bundesliga,2012,1.FSV Mainz 05,52430000,13 ,42
Bundesliga,2012,1.FC Nürnberg,46830000,10 ,44
Bundesliga,2012,FC Augsburg,38450000,15 ,33
Bundesliga,2012,SpVgg Greuther Fürth,33330000,18 ,21
