Liga,Saison,Team,Marktwert,Platzierung,Punkte
Bundesliga,2022,FC Bayern München,944700000,1 ,37
Bundesliga,2022,Borussia Dortmund,531700000,4 ,34
Bundesliga,2022,RasenBallsport Leipzig,493300000,3 ,35
Bundesliga,2022,Bayer 04 Leverkusen,418700000,9 ,24
Bundesliga,2022,Eintracht Frankfurt,270950000,6 ,32
Bundesliga,2022,Borussia Mönchengladbach,233250000,8 ,25
Bundesliga,2022,VfL Wolfsburg,190700000,7 ,29
Bundesliga,2022,TSG 1899 Hoffenheim,167950000,13 ,19
Bundesliga,2022,SC Freiburg,161630000,5 ,34
Bundesliga,2022,VfB Stuttgart,124850000,15 ,16
Bundesliga,2022,1.FSV Mainz 05,122300000,11 ,23
Bundesliga,2022,1.FC Union Berlin,119900000,2 ,36
Bundesliga,2022,FC Augsburg,111950000,14 ,18
Bundesliga,2022,Hertha BSC,97950000,17 ,14
Bundesliga,2022,1.FC Köln,96030000,12 ,22
Bundesliga,2022,SV Werder Bremen,73550000,10 ,24
Bundesliga,2022,FC Schalke 04,57600000,18 ,10
Bundesliga,2022,VfL Bochum,48130000,16 ,16
