Liga,Saison,Team,Marktwert,Platzierung,Punkte
2. Bundesliga,2010,Hertha BSC,38450000,1 ,74
2. Bundesliga,2010,FC Augsburg,30400000,2 ,65
2. Bundesliga,2010,VfL Bochum,27250000,3 ,65
2. Bundesliga,2010,TSV 1860 München,26850000,9 ,50
2. Bundesliga,2010,SpVgg Greuther Fürth,23700000,4 ,61
2. Bundesliga,2010,FC Energie Cottbus,20300000,6 ,55
2. Bundesliga,2010,Alemannia Aachen,19930000,10 ,48
2. Bundesliga,2010,MSV Duisburg,19480000,8 ,52
2. Bundesliga,2010,Fortuna Düsseldorf,17050000,7 ,53
2. Bundesliga,2010,Karlsruher SC,16930000,15 ,33
2. Bundesliga,2010,Arminia Bielefeld,13730000,18 ,17
2. Bundesliga,2010,FC Erzgebirge Aue,13300000,5 ,56
2. Bundesliga,2010,FC Ingolstadt 04,12500000,14 ,37
2. Bundesliga,2010,1.FC Union Berlin,12150000,11 ,42
2. Bundesliga,2010,FSV Frankfurt,11650000,13 ,38
2. Bundesliga,2010,SC Paderborn 07,11650000,12 ,39
2. Bundesliga,2010,VfL Osnabrück,10000000,16 ,31
2. Bundesliga,2010,Rot-Weiß Oberhausen,9850000,17 ,28
2. Bundesliga,2011,Eintracht Frankfurt,43530000,2 ,68
2. Bundesliga,2011,SpVgg Greuther Fürth,26150000,1 ,70
2. Bundesliga,2011,Fortuna Düsseldorf,23600000,3 ,62
2. Bundesliga,2011,FC St. Pauli,21500000,4 ,62
2. Bundesliga,2011,TSV 1860 München,20430000,6 ,57
2. Bundesliga,2011,FC Energie Cottbus,19530000,14 ,35
2. Bundesliga,2011,VfL Bochum,19500000,11 ,37
2. Bundesliga,2011,MSV Duisburg,15450000,10 ,39
2. Bundesliga,2011,SG Dynamo Dresden,15280000,9 ,45
2. Bundesliga,2011,SC Paderborn 07,15250000,5 ,61
2. Bundesliga,2011,Karlsruher SC,14250000,16 ,33
2. Bundesliga,2011,Eintracht Braunschweig,13580000,8 ,45
2. Bundesliga,2011,FC Ingolstadt 04,13450000,12 ,37
2. Bundesliga,2011,Alemannia Aachen,13400000,17 ,31
2. Bundesliga,2011,FSV Frankfurt,13230000,13 ,35
2. Bundesliga,2011,1.FC Union Berlin,13130000,7 ,48
2. Bundesliga,2011,FC Erzgebirge Aue,13000000,15 ,35
2. Bundesliga,2011,FC Hansa Rostock,9850000,18 ,27
2. Bundesliga,2012,Hertha BSC,37680000,1 ,76
2. Bundesliga,2012,1.FC Kaiserslautern,35300000,3 ,58
2. Bundesliga,2012,1.FC Köln,24350000,5 ,54
2. Bundesliga,2012,FC St. Pauli,22650000,10 ,43
2. Bundesliga,2012,Eintracht Braunschweig,19650000,2 ,67
2. Bundesliga,2012,VfL Bochum,18480000,14 ,38
2. Bundesliga,2012,TSV 1860 München,17330000,6 ,49
2. Bundesliga,2012,MSV Duisburg,16900000,11 ,43
2. Bundesliga,2012,1.FC Union Berlin,15330000,7 ,49
2. Bundesliga,2012,FC Energie Cottbus,15100000,8 ,48
2. Bundesliga,2012,FSV Frankfurt,14500000,4 ,54
2. Bundesliga,2012,FC Ingolstadt 04,14430000,13 ,42
2. Bundesliga,2012,SG Dynamo Dresden,14380000,16 ,37
2. Bundesliga,2012,FC Erzgebirge Aue,13500000,15 ,37
2. Bundesliga,2012,SC Paderborn 07,13100000,12 ,42
2. Bundesliga,2012,VfR Aalen,11700000,9 ,46
