Liga,Saison,Team,Marktwert,Platzierung,Punkte
Bundesliga,2022,FC Bayern München,939,70,1 ,34
Bundesliga,2022,Borussia Dortmund,519,20,6 ,25
Bundesliga,2022,RasenBallsport Leipzig,493,30,3 ,28
Bundesliga,2022,Bayer 04 Leverkusen,416,85,12 ,18
Bundesliga,2022,Eintracht Frankfurt,270,95,4 ,27
Bundesliga,2022,Borussia Mönchengladbach,231,90,8 ,22
Bundesliga,2022,VfL Wolfsburg,193,20,7 ,23
Bundesliga,2022,SC Freiburg,161,63,2 ,30
Bundesliga,2022,TSG 1899 Hoffenheim,160,75,11 ,18
Bundesliga,2022,VfB Stuttgart,124,85,16 ,14
Bundesliga,2022,1.FC Union Berlin,115,40,5 ,27
Bundesliga,2022,1.FSV Mainz 05,111,30,10 ,19
Bundesliga,2022,FC Augsburg,108,15,14 ,15
Bundesliga,2022,1.FC Köln,99,53,13 ,17
Bundesliga,2022,Hertha BSC,97,25,15 ,14
Bundesliga,2022,SV Werder Bremen,73,55,9 ,21
Bundesliga,2022,FC Schalke 04,54,45,18 ,9
Bundesliga,2022,VfL Bochum,48,85,17 ,13
