Liga,Saison,Team,Marktwert,Platzierung,Punkte
Bundesliga,2008,FC Bayern München,235,95,2 ,67
Bundesliga,2008,Hamburger SV,156,88,5 ,61
Bundesliga,2008,SV Werder Bremen,149,45,10 ,45
Bundesliga,2008,VfL Wolfsburg,138,33,1 ,69
Bundesliga,2008,Bayer 04 Leverkusen,120,10,9 ,49
Bundesliga,2008,VfB Stuttgart,119,05,3 ,64
Bundesliga,2008,FC Schalke 04,118,05,8 ,50
Bundesliga,2008,Borussia Dortmund,105,83,6 ,59
Bundesliga,2008,Hertha BSC,88,10,4 ,63
Bundesliga,2008,TSG 1899 Hoffenheim,79,65,7 ,55
Bundesliga,2008,Hannover 96,64,38,11 ,40
Bundesliga,2008,Eintracht Frankfurt,63,40,13 ,33
Bundesliga,2008,1.FC Köln,49,30,12 ,39
Bundesliga,2008,Borussia Mönchengladbach,49,00,15 ,31
Bundesliga,2008,VfL Bochum,41,45,14 ,32
Bundesliga,2008,Karlsruher SC,30,90,17 ,29
Bundesliga,2008,Arminia Bielefeld,29,60,18 ,28
Bundesliga,2008,FC Energie Cottbus,29,53,16 ,30
